"Citation","URL"
"Giridharan, Renganathan; Kolokotroni, Maria (2009). Urban heat island characteristics in London during winter. Loughborough University. Journal contribution. https://hdl.handle.net/2134/5737","https://repository.lboro.ac.uk/articles/journal_contribution/Urban_heat_island_characteristics_in_London_during_winter/9460031"
"Pethick, Jamie; Casselton, Charlotte; Winter, Sam; Burnley, Mark (2021). Ischemic preconditioning blunts loss of knee extensor torque complexity with fatigue. Loughborough University. Journal contribution. https://hdl.handle.net/2134/13655468.v1","https://repository.lboro.ac.uk/articles/journal_contribution/Ischemic_preconditioning_blunts_loss_of_knee_extensor_torque_complexity_with_fatigue/13655468"
"Winter, Edward M. (1989). Indices of external power output in men and women. Loughborough University. Thesis. https://hdl.handle.net/2134/12466","https://repository.lboro.ac.uk/articles/thesis/Indices_of_external_power_output_in_men_and_women/9606827"
"Winter, Philip J. (2021). The use of microcomputers in secondary schools. Loughborough University. Educational resource. https://doi.org/10.26174/thesis.lboro.14268989.v1","https://repository.lboro.ac.uk/articles/educational_resource/The_use_of_microcomputers_in_secondary_schools/14268989"
"Chen, Shushu; Preuss, Holger; Hu, Xiaoqian; Kenyon, James Andrew; Yuan, Chunmei (2017). Domestic sport policy development [in China]: Legacies of Beijing’s 2008 Summer Olympic Games and 2022 Winter Olympic Games. Loughborough University. Conference contribution. https://hdl.handle.net/2134/26198","https://repository.lboro.ac.uk/articles/conference_contribution/Domestic_sport_policy_development_in_China_Legacies_of_Beijing_s_2008_Summer_Olympic_Games_and_2022_Winter_Olympic_Games/9615320"
"Matthews, Tom; Murphy, Conor; Wilby, Robert; Harrigan, Shaun (2014). Stormiest winter on record for Ireland and UK. Loughborough University. Journal contribution. https://hdl.handle.net/2134/16229","https://repository.lboro.ac.uk/articles/journal_contribution/Stormiest_winter_on_record_for_Ireland_and_UK/9481628"
"Pethick, Jamie; Winter, Sam; Burnley, Mark (2021). Fatigue-induced changes in knee-extensor torque complexity and muscle metabolic rate are dependent on joint angle. Loughborough University. Journal contribution. https://hdl.handle.net/2134/15148617.v1","https://repository.lboro.ac.uk/articles/journal_contribution/Fatigue-induced_changes_in_knee-extensor_torque_complexity_and_muscle_metabolic_rate_are_dependent_on_joint_angle/15148617"
"Pethick, Jamie; Winter, Sam; Burnley, Mark (2020). Physiological evidence that the critical torque is a phase transition, not a threshold. Loughborough University. Journal contribution. https://hdl.handle.net/2134/13160021.v1","https://repository.lboro.ac.uk/articles/journal_contribution/Physiological_evidence_that_the_critical_torque_is_a_phase_transition_not_a_threshold/13160021"
"Smith, Samuel A; Micklewright, Dominic; Winter, Sam; Mauger, Alexis R (2020). Muscle pain induced by hypertonic saline in the knee extensors decreases single-limb isometric time to task failure. Loughborough University. Journal contribution. https://hdl.handle.net/2134/12951527.v1","https://repository.lboro.ac.uk/articles/journal_contribution/Muscle_pain_induced_by_hypertonic_saline_in_the_knee_extensors_decreases_single-limb_isometric_time_to_task_failure/12951527"
"Gales, Dan J; Winter, Sam; Challis, John H (2021). The influence of heel pad confinement on heel pad mechanical properties. Loughborough University. Journal contribution. https://hdl.handle.net/2134/15067377.v1","https://repository.lboro.ac.uk/articles/journal_contribution/The_influence_of_heel_pad_confinement_on_heel_pad_mechanical_properties/15067377"
"Key, Alastair; Farr, Ian; Hunter, Robert; Mika, Anna; Eren, Metin I; Winter, Sam (2021). Why invent the handle? Electromyography (EMG) and efficiency of use data investigating the prehistoric origin and selection of hafted stone knives. Loughborough University. Journal contribution. https://hdl.handle.net/2134/16616545.v1","https://repository.lboro.ac.uk/articles/journal_contribution/Why_invent_the_handle_Electromyography_EMG_and_efficiency_of_use_data_investigating_the_prehistoric_origin_and_selection_of_hafted_stone_knives/16616545"
"Lockwood, Victoria A; Lu, Szu-Ching; Winter, Sam; Kivell, Tracy L (2022). Pressure generated by the modern human hand during vertical climbing [Abstract]. Loughborough University. Conference contribution. https://hdl.handle.net/2134/19611507.v1","https://repository.lboro.ac.uk/articles/conference_contribution/Pressure_generated_by_the_modern_human_hand_during_vertical_climbing_Abstract_/19611507"
"Key, Alastair JM; Farr, Ian; Hunter, Robert; Winter, Sam (2020). Muscle recruitment and stone tool use ergonomics across three million years of Palaeolithic technological transitions. Loughborough University. Journal contribution. https://hdl.handle.net/2134/12951521.v1","https://repository.lboro.ac.uk/articles/journal_contribution/Muscle_recruitment_and_stone_tool_use_ergonomics_across_three_million_years_of_Palaeolithic_technological_transitions/12951521"
"Smith, Samuel Andrew; Micklewright, Dominic; Winter, Sam; Mauger, Alexis R (2021). Muscle pain from an intramuscular injection of hypertonic saline increases variability in knee extensor torque reproduction. Loughborough University. Journal contribution. https://hdl.handle.net/2134/13207607.v1","https://repository.lboro.ac.uk/articles/journal_contribution/Muscle_pain_from_an_intramuscular_injection_of_hypertonic_saline_increases_variability_in_knee_extensor_torque_reproduction/13207607"
"Markey, Oonagh (2024). Winter Conference 2023 Editorial. Loughborough University. Conference contribution. https://hdl.handle.net/2134/25816879.v1","https://repository.lboro.ac.uk/articles/conference_contribution/Winter_Conference_2023_Editorial/25816879"
"Smyth, Carol ME; Winter, Sam; Dickinson, John W (2022). Breathing pattern disorders distinguished from healthy breathing patterns using oxptoelectronic plethysmography. Loughborough University. Journal contribution. https://hdl.handle.net/2134/22333144.v1","https://repository.lboro.ac.uk/articles/journal_contribution/Breathing_pattern_disorders_distinguished_from_healthy_breathing_patterns_using_oxptoelectronic_plethysmography/22333144"
"Smyth, Carol ME; Winter, Sam; Dickinson, John W (2021). Novel real-time OEP phase angle feedback system for dysfunctional breathing pattern training—an acute intervention study. Loughborough University. Journal contribution. https://hdl.handle.net/2134/14828265.v1","https://repository.lboro.ac.uk/articles/journal_contribution/Novel_real-time_OEP_phase_angle_feedback_system_for_dysfunctional_breathing_pattern_training_an_acute_intervention_study/14828265"
"Lumsden, Karen; Winter, Aaron (2014). Reflexivity in criminological research: experiences with the powerful and the powerless. Loughborough University. Book. https://hdl.handle.net/2134/21578","https://repository.lboro.ac.uk/articles/book/Reflexivity_in_criminological_research_experiences_with_the_powerful_and_the_powerless/9476963"
"Hamilton, Sarah L.; Clemes, Stacy; Griffiths, Paula (2008). UK adults exhibit higher step counts in summer compared to winter months. Loughborough University. Journal contribution. https://hdl.handle.net/2134/15272","https://repository.lboro.ac.uk/articles/journal_contribution/UK_adults_exhibit_higher_step_counts_in_summer_compared_to_winter_months/9620933"
"Lumsden, Karen; Winter, Aaron (2014). Reflexivity in criminological research. Loughborough University. Chapter. https://hdl.handle.net/2134/16375","https://repository.lboro.ac.uk/articles/chapter/Reflexivity_in_criminological_research/9477953"
"Abidoye, Luqman K.; Das, Diganta Bhusan (2013). Dynamic effect in capillary pressure-saturation relationship for CO2-H2O-sand system: application to CO2 sequestration. Loughborough University. Conference contribution. https://hdl.handle.net/2134/15649","https://repository.lboro.ac.uk/articles/conference_contribution/Dynamic_effect_in_capillary_pressure-saturation_relationship_for_CO2-H2O-sand_system_application_to_CO2_sequestration/9245897"
"Wilby, Robert; Fowler, Hayley J.; Donovan, Bill (2014). Detecting changes in winter precipitation extremes and fluvial flood risk. Loughborough University. Chapter. https://hdl.handle.net/2134/16270","https://repository.lboro.ac.uk/articles/chapter/Detecting_changes_in_winter_precipitation_extremes_and_fluvial_flood_risk/9486617"
"Meskimmon, Marsha (2003). Corporeal theory with/in practice: Christine Borland's winter garden. Loughborough University. Journal contribution. https://hdl.handle.net/2134/8876","https://repository.lboro.ac.uk/articles/journal_contribution/Corporeal_theory_with_in_practice_Christine_Borland_s_winter_garden/9333926"
"Pethick, J; Winter, Sam; Burnley, M (2021). Did you know? Using entropy and fractal geometry to quantify fluctuations in physiological outputs. Loughborough University. Journal contribution. https://hdl.handle.net/2134/14625852.v1","https://repository.lboro.ac.uk/articles/journal_contribution/Did_you_know_Using_entropy_and_fractal_geometry_to_quantify_fluctuations_in_physiological_outputs/14625852"
"Lloyd, Alex; Raccuglia, Giuseppe; Grainger, Jessica; Hodder, Simon; Havenith, George (2018). The effect of winter clothing ensembles and hypoxia on performance and exercise-related sensations during uphill walking: A combined and individual stressors approach [Abstract]. Loughborough University. Conference contribution. https://hdl.handle.net/2134/32985","https://repository.lboro.ac.uk/articles/conference_contribution/The_effect_of_winter_clothing_ensembles_and_hypoxia_on_performance_and_exercise-related_sensations_during_uphill_walking_A_combined_and_individual_stressors_approach_Abstract_/9352781"
"Abidoye, Luqman K. (2012). Experimental determination of dynamic effect for CO2-H2O flow in porous medium: application to CO2 sequestration. Loughborough University. Conference contribution. https://hdl.handle.net/2134/15656","https://repository.lboro.ac.uk/articles/conference_contribution/Experimental_determination_of_dynamic_effect_for_CO2-H2O_flow_in_porous_medium_application_to_CO2_sequestration/9246689"
"Pethick, Jamie; Winter, Sam; Burnley, Mark (2021). Physiological complexity: influence of ageing, disease and neuromuscular fatigue on muscle force and torque fluctuations. Loughborough University. Journal contribution. https://hdl.handle.net/2134/17057048.v1","https://repository.lboro.ac.uk/articles/journal_contribution/Physiological_complexity_influence_of_ageing_disease_and_neuromuscular_fatigue_on_muscle_force_and_torque_fluctuations/17057048"
"Matthews, Tom; Perry, L Baker; Aryal, Deepak; Elmore, Aurora C; Khadka, Arbindra; Pelto, Mauri; et al. (2021). Weather on K2 during historic first winter ascent. Loughborough University. Journal contribution. https://hdl.handle.net/2134/17035337.v1","https://repository.lboro.ac.uk/articles/journal_contribution/Weather_on_K2_during_historic_first_winter_ascent/17035337"
"Herbert, Ian; Zarifis, Alex (2019). The AI challenge. Loughborough University. Journal contribution. https://hdl.handle.net/2134/10509893.v1","https://repository.lboro.ac.uk/articles/journal_contribution/The_AI_challenge/10509893"
"Clemes, Stacy; Hamilton, Sarah L.; Griffiths, Paula (2011). Summer to winter variability in the step counts of normal weight and overweight adults living in the UK. Loughborough University. Journal contribution. https://hdl.handle.net/2134/15581","https://repository.lboro.ac.uk/articles/journal_contribution/Summer_to_winter_variability_in_the_step_counts_of_normal_weight_and_overweight_adults_living_in_the_UK/9619211"
"Rabiu, Kazeem; Das, Diganta (2017). Geo-electrical characterisation for Geological Carbon Sequestration [Presentation]. Loughborough University. Conference contribution. https://hdl.handle.net/2134/24755","https://repository.lboro.ac.uk/articles/conference_contribution/Geo-electrical_characterisation_for_Geological_Carbon_Sequestration_Presentation_/9245411"
"Winter, Richard; Salagean, Ana; Phan, Raphael C.-W. (2015). Comparison of cube attacks over different vector spaces. Loughborough University. Conference contribution. https://hdl.handle.net/2134/20046","https://repository.lboro.ac.uk/articles/conference_contribution/Comparison_of_cube_attacks_over_different_vector_spaces/9404159"
"Huntingford, Chris; Marsh, Terry; Scaife, Adam A.; Kendon, Elizabeth J.; Hannaford, Jamie; Kay, Alison L.; et al. (2014). Potential influences on the United Kingdom's floods of winter 2013/14. Loughborough University. Journal contribution. https://hdl.handle.net/2134/22130","https://repository.lboro.ac.uk/articles/journal_contribution/Potential_influences_on_the_United_Kingdom_s_floods_of_winter_2013_14/9485372"
"O'Callaghan, Claire (2018). “A poet, a solitary”: Emily Brontë — Queerness, quietness, and solitude. Loughborough University. Journal contribution. https://hdl.handle.net/2134/34723","https://repository.lboro.ac.uk/articles/journal_contribution/_A_poet_a_solitary_Emily_Bront_Queerness_quietness_and_solitude/9332132"
"Winter, Edward M.; Abt, Grant; Brookes, F.B. Carl; Challis, John H.; Fowler, Neil E.; Knudson, Duane V.; et al. (2016). Misuse of ""Power"" and other mechanical terms in sport and exercise science research. Loughborough University. Journal contribution. https://hdl.handle.net/2134/20222","https://repository.lboro.ac.uk/articles/journal_contribution/Misuse_of_Power_and_other_mechanical_terms_in_sport_and_exercise_science_research/9618809"
"He, Cheng-Shiun; Handzlik, Michal K.; Fraser, William D.; Muhamad, Ayu S.; Preston, H.; Richardson, A.; et al. (2013). Influence of vitamin D status on respiratory infection incidence and immune function during 4 months of winter training in endurance sport athletes [conference abstract]. Loughborough University. Conference contribution. https://hdl.handle.net/2134/14340","https://repository.lboro.ac.uk/articles/conference_contribution/Influence_of_vitamin_D_status_on_respiratory_infection_incidence_and_immune_function_during_4_months_of_winter_training_in_endurance_sport_athletes_conference_abstract_/9615341"
"He, Cheng-Shiun; Handzlik, Michal K.; Muhamad, Ayu S.; Gleeson, Michael (2013). Influence of CMV/EBV serostatus on respiratory infection incidence during 4 months of winter training in a student cohort of endurance athletes [conference abstract]. Loughborough University. Journal contribution. https://hdl.handle.net/2134/14338","https://repository.lboro.ac.uk/articles/journal_contribution/Influence_of_CMV_EBV_serostatus_on_respiratory_infection_incidence_during_4_months_of_winter_training_in_a_student_cohort_of_endurance_athletes_conference_abstract_/9615659"
